Race/Ethnicity,Sex,Department,Age,Hourly Rate,Regular/Temporary,Employee Status
Hispanic or Latino,F,Parks & Recreation,23,19.51,T,A
Hispanic or Latino,M,Fire Department,52,51.7,R,A
Hispanic or Latino,M,Police Department,51,67.59,R,A
Hispanic or Latino,M,Seattle Public Library,46,65.82,R,A
Hispanic or Latino,M,Police Department,30,50.03,R,A
Hispanic or Latino,M,Seattle City Light,61,55.63,R,P
Hispanic or Latino,M,Seattle Public Utilities,51,62.91,R,A
Hispanic or Latino,M,Municipal Court,34,36,R,A
Hispanic or Latino,M,Seattle Public Utilities,48,47.96,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,60,56.52,R,A
Hispanic or Latino,M,Seattle Public Utilities,53,55.44,R,A
Hispanic or Latino,M,Fire Department,40,48.15,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,52,66.35,R,A
Hispanic or Latino,F,Fire Department,59,104.07,R,A
Hispanic or Latino,M,Seattle Public Utilities,29,41.66,T,A
Hispanic or Latino,M,Fire Department,62,69.51,R,A
Hispanic or Latino,M,Parks & Recreation,46,34.08,R,A
Hispanic or Latino,F,Seattle Center,57,61.936,R,A
Hispanic or Latino,M,Seattle Public Library,31,23.46,R,A
Hispanic or Latino,M,Parks & Recreation,57,35.46,R,A
Hispanic or Latino,M,Fire Department,44,62.77,R,A
Hispanic or Latino,F,Human Services Department,39,49.49,R,A
Hispanic or Latino,M,Seattle City Light,55,57.38,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,51,72.75,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,55,67.49,R,A
Hispanic or Latino,M,Seattle City Light,61,42.92,R,A
Hispanic or Latino,M,Seattle Public Utilities,26,28.7,R,A
Hispanic or Latino,M,Fire Department,47,46.9,R,A
Hispanic or Latino,F,Seattle Center,69,18.69,T,A
Hispanic or Latino,F,Office of Inspector General,34,48.3717,R,A
Hispanic or Latino,F,Seattle City Light,51,34.6,R,A
Hispanic or Latino,M,Police Department,26,29.79,R,A
Hispanic or Latino,M,Human Services Department,55,42.57,R,A
Hispanic or Latino,F,Police Department,30,33.44,R,A
Hispanic or Latino,F,Parks & Recreation,23,18.69,T,A
Hispanic or Latino,F,Office of Labor Standards,44,57.5,R,A
Hispanic or Latino,M,Parks & Recreation,61,32.85,R,A
Hispanic or Latino,F,Finance & Admin Services,59,67.608,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,29,53.74,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,39,32.85,R,A
Hispanic or Latino,M,Information Technology,35,61.665,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,30,47.34,R,A
Hispanic or Latino,F,Parks & Recreation,21,18.69,T,A
Hispanic or Latino,M,Seattle Public Library,55,28.5,R,A
Hispanic or Latino,M,Seattle Center,58,23.14,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,30,53.2,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,38,30.09,T,A
Hispanic or Latino,M,Construction & Inspections,32,44.95,R,A
Hispanic or Latino,M,Seattle Public Library,22,23.46,R,A
Hispanic or Latino,F,Seattle City Light,49,61,R,A
Hispanic or Latino,F,Parks & Recreation,38,29.03,R,A
Hispanic or Latino,M,Police Department,47,148.34,R,A
Hispanic or Latino,M,Parks & Recreation,46,25.58,T,A
Hispanic or Latino,F,Office for Civil Rights,34,32.52,R,A
Hispanic or Latino,F,Seattle Public Utilities,66,87.623,R,A
Hispanic or Latino,M,Seattle City Light,45,31.35,R,A
Hispanic or Latino,F,Finance & Admin Services,40,61.162,R,A
Hispanic or Latino,M,Parks & Recreation,52,30.09,R,A
Hispanic or Latino,M,Police Department,58,69.71,R,A
Hispanic or Latino,F,Seattle City Light,51,63.515,R,A
Hispanic or Latino,F,Police Department,25,38.04,R,A
Hispanic or Latino,M,Seattle Public Utilities,47,41.61,R,A
Hispanic or Latino,M,Police Department,47,54.29,R,A
Hispanic or Latino,M,Police Department,56,34.05,R,A
Hispanic or Latino,F,Seattle City Light,40,40.86,R,A
Hispanic or Latino,M,Seattle Public Utilities,31,30.52,R,A
Hispanic or Latino,M,Seattle City Light,52,51.32,R,A
Hispanic or Latino,F,Seattle Public Library,35,34.82,R,A
Hispanic or Latino,M,Police Department,32,53.5,R,A
Hispanic or Latino,M,Fire Department,46,48.99,R,A
Hispanic or Latino,M,Fire Department,56,55.15,R,A
Hispanic or Latino,M,Office of Labor Standards,27,42.43,R,A
Hispanic or Latino,M,Office of Economic Development,27,49.35,R,A
Hispanic or Latino,M,Seattle City Light,44,24.11,T,A
Hispanic or Latino,F,Parks & Recreation,29,19.29,T,A
Hispanic or Latino,F,Construction & Inspections,27,48.31,R,A
Hispanic or Latino,F,Fire Department,36,43.15,R,A
Hispanic or Latino,F,Fire Department,55,58.68,R,A
Hispanic or Latino,F,Office of Economic Development,38,38.57,R,A
Hispanic or Latino,F,Seattle Public Library,65,52.18,R,A
Hispanic or Latino,M,Seattle Public Utilities,51,42.38,R,A
Hispanic or Latino,M,Information Technology,42,52,R,A
Hispanic or Latino,F,Parks & Recreation,34,19.64,T,A
Hispanic or Latino,F,Parks & Recreation,37,18.69,T,A
Hispanic or Latino,F,Law Department,54,37.84,R,A
Hispanic or Latino,F,Office of Inspector General,36,56.586,R,A
Hispanic or Latino,M,Parks & Recreation,22,19.51,T,A
Hispanic or Latino,F,Office of Inspector General,27,45,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,38,66.35,R,A
Hispanic or Latino,M,Parks & Recreation,51,38.95,R,A
Hispanic or Latino,M,Parks & Recreation,46,30.09,R,A
Hispanic or Latino,M,Parks & Recreation,64,42.92,R,A
Hispanic or Latino,F,Finance & Admin Services,54,31.7,R,A
Hispanic or Latino,F,Commnty Sfty and Comm Ctr Dept,44,36.31,R,P
Hispanic or Latino,F,Municipal Court,64,35.74,R,A
Hispanic or Latino,M,Parks & Recreation,32,30.09,R,A
Hispanic or Latino,M,Seattle Public Utilities,26,44.32,R,A
Hispanic or Latino,M,Parks & Recreation,64,30.09,R,A
Hispanic or Latino,F,Information Technology,62,43.34,R,A
Hispanic or Latino,F,Municipal Court,30,32.91,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,47,38.31,R,A
Hispanic or Latino,M,Municipal Court,50,38.58,T,A
Hispanic or Latino,F,Parks & Recreation,34,20.75,T,A
Hispanic or Latino,F,Police Department,50,57.7,R,A
Hispanic or Latino,M,Seattle Public Utilities,53,41.63,R,A
Hispanic or Latino,M,Police Department,51,54.29,R,A
Hispanic or Latino,M,Seattle Public Utilities,38,34.08,R,A
Hispanic or Latino,F,Seattle Public Library,56,45.41,R,A
Hispanic or Latino,M,Police Department,42,33.44,R,A
Hispanic or Latino,F,Legislative Department,52,68.4752,R,A
Hispanic or Latino,M,Seattle City Light,54,69.07,R,A
Hispanic or Latino,M,Parks & Recreation,63,25.58,T,A
Hispanic or Latino,M,Seattle Public Utilities,32,30.52,R,A
Hispanic or Latino,M,Human Services Department,56,46.68,R,A
Hispanic or Latino,M,Fire Department,30,36.9,R,A
Hispanic or Latino,M,Fire Department,33,43.98,R,A
Hispanic or Latino,M,Seattle City Light,54,40.31,R,A
Hispanic or Latino,M,Seattle Public Utilities,71,54.4,R,A
Hispanic or Latino,M,Police Department,33,45.96,R,A
Hispanic or Latino,F,Information Technology,40,62.815,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,34,28,T,A
Hispanic or Latino,M,Seattle Public Library,17,19.87,R,A
Hispanic or Latino,M,Parks & Recreation,39,40.86,R,A
Hispanic or Latino,M,Seattle City Light,34,61.86,R,A
Hispanic or Latino,F,Seattle Public Utilities,59,38.07,R,A
Hispanic or Latino,M,Seattle Public Library,49,28.29,R,A
Hispanic or Latino,F,Finance & Admin Services,76,63.521,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,50,30.09,T,A
Hispanic or Latino,F,Seattle Dept of Transportation,42,57.55,R,A
Hispanic or Latino,M,Parks & Recreation,21,23.62,T,A
Hispanic or Latino,M,Seattle Public Utilities,22,33.75,R,A
Hispanic or Latino,F,Commnty Sfty and Comm Ctr Dept,25,31.3,R,A
Hispanic or Latino,M,Seattle City Light,66,38.95,R,A
Hispanic or Latino,M,Seattle Public Utilities,47,52.41,R,A
Hispanic or Latino,M,Seattle City Light,43,66.14,R,A
Hispanic or Latino,M,Seattle City Light,27,32.92,R,A
Hispanic or Latino,M,Seattle City Light,51,53.06,R,A
Hispanic or Latino,F,Education & Early Learning,35,33.16,R,A
Hispanic or Latino,F,Seattle Dept of Human Resource,43,68.557,R,A
Hispanic or Latino,F,Seattle City Light,38,49.5,R,A
Hispanic or Latino,M,Finance & Admin Services,30,25.58,R,A
Hispanic or Latino,M,Parks & Recreation,40,19.51,T,A
Hispanic or Latino,M,Seattle Center,54,36.05,T,A
Hispanic or Latino,M,Seattle Dept of Transportation,61,30.09,R,A
Hispanic or Latino,M,Information Technology,50,61.618,R,A
Hispanic or Latino,M,Seattle Public Library,18,18.69,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,41,64.21,R,A
Hispanic or Latino,M,Fire Department,27,34.81,R,A
Hispanic or Latino,F,Human Services Department,32,51.39,R,A
Hispanic or Latino,F,Neighborhoods,49,53.12,R,A
Hispanic or Latino,M,Seattle Public Utilities,36,55.73,R,A
Hispanic or Latino,F,Parks & Recreation,45,18.69,T,A
Hispanic or Latino,F,Finance & Admin Services,51,58.55,R,A
Hispanic or Latino,F,Parks & Recreation,31,24.82,T,A
Hispanic or Latino,M,Planning & Comm Development,29,51.39,R,A
Hispanic or Latino,F,Seattle Public Utilities,36,55.44,R,A
Hispanic or Latino,F,Legislative Department,54,65.82,R,A
Hispanic or Latino,M,Seattle Public Utilities,54,38.83,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,60,38.83,R,A
Hispanic or Latino,F,Parks & Recreation,38,26.24,R,A
Hispanic or Latino,M,Commnty Sfty and Comm Ctr Dept,33,33.61,R,A
Hispanic or Latino,F,Finance & Admin Services,52,55.302,R,A
Hispanic or Latino,F,Office of Labor Standards,58,47.48,R,A
Hispanic or Latino,M,Finance & Admin Services,33,43.49,R,A
Hispanic or Latino,M,Seattle City Light,20,24.78,T,A
Hispanic or Latino,M,Seattle Public Utilities,56,39.47,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,46,37.29,R,A
Hispanic or Latino,M,Seattle Public Library,45,40.63,R,A
Hispanic or Latino,F,Human Services Department,61,39.28,R,A
Hispanic or Latino,M,Police Department,33,54.6913,R,A
Hispanic or Latino,M,Fire Department,40,50.23,R,A
Hispanic or Latino,F,Seattle City Light,36,56.31,R,A
Hispanic or Latino,M,Fire Department,34,57.47,R,A
Hispanic or Latino,M,Seattle Center,75,36.05,T,A
Hispanic or Latino,M,Information Technology,67,62.859,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,40,55.44,R,A
Hispanic or Latino,F,Parks & Recreation,38,19.64,T,A
Hispanic or Latino,F,Parks & Recreation,19,19.51,T,A
Hispanic or Latino,M,Parks & Recreation,55,27.19,R,A
Hispanic or Latino,M,Police Department,35,50.03,R,A
Hispanic or Latino,M,Commnty Sfty and Comm Ctr Dept,27,31.3,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,27,47.34,T,A
Hispanic or Latino,F,Parks & Recreation,40,20.75,T,A
Hispanic or Latino,M,Seattle City Light,25,58.78,R,A
Hispanic or Latino,M,Information Technology,50,61.289,R,A
Hispanic or Latino,F,Sustainability & Environment,51,58.931,R,A
Hispanic or Latino,M,Parks & Recreation,27,26.24,R,A
Hispanic or Latino,M,Fire Department,29,36.9,R,A
Hispanic or Latino,M,Fire Department,29,36.9,R,A
Hispanic or Latino,M,City Budget Office,35,58.61,R,A
Hispanic or Latino,F,Neighborhoods,40,41.66,T,A
Hispanic or Latino,M,Construction & Inspections,50,54.24,R,A
Hispanic or Latino,M,Seattle Public Utilities,45,46.68,R,A
Hispanic or Latino,F,Municipal Court,43,31.35,R,A
Hispanic or Latino,M,Seattle Public Utilities,39,49.4,R,A
Hispanic or Latino,M,Seattle City Light,36,47.62,R,A
Hispanic or Latino,M,Police Department,57,60.58,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,35,56.52,R,A
Hispanic or Latino,F,Seattle Center,51,31.35,R,A
Hispanic or Latino,F,Office of Housing,43,53.041,R,A
Hispanic or Latino,M,Police Department,33,45.96,R,A
Hispanic or Latino,M,Seattle Public Utilities,30,32.49,R,A
Hispanic or Latino,F,Parks & Recreation,19,19.29,T,A
Hispanic or Latino,M,Parks & Recreation,40,25.58,T,A
Hispanic or Latino,F,Education & Early Learning,51,47.57,R,A
Hispanic or Latino,F,Office for Civil Rights,29,29.03,R,A
Hispanic or Latino,F,Parks & Recreation,59,18.69,T,A
Hispanic or Latino,M,Seattle Public Utilities,50,57.87,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,40,35.16,R,A
Hispanic or Latino,F,Seattle Public Library,43,39.89,R,A
Hispanic or Latino,F,Seattle City Light,38,55.44,R,A
Hispanic or Latino,M,Parks & Recreation,21,19.64,T,A
Hispanic or Latino,M,Fire Department,56,62.23,R,A
Hispanic or Latino,M,Parks & Recreation,21,19.51,T,A
Hispanic or Latino,M,Seattle Dept of Transportation,43,51.32,R,A
Hispanic or Latino,F,Parks & Recreation,24,18.69,T,A
Hispanic or Latino,F,Legislative Department,42,69.26,R,A
Hispanic or Latino,M,Fire Department,38,53.15,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,42,51.32,R,A
Hispanic or Latino,F,Employees' Retirement System,42,58.765,R,A
Hispanic or Latino,M,Finance & Admin Services,23,39.78,R,A
Hispanic or Latino,M,Fire Department,49,52.94,R,A
Hispanic or Latino,M,Neighborhoods,54,48.48,R,A
Hispanic or Latino,M,Seattle Public Library,24,24.67,R,A
Hispanic or Latino,M,Parks & Recreation,23,19.64,T,A
Hispanic or Latino,M,Parks & Recreation,43,25.58,T,A
Hispanic or Latino,M,Police Department,54,34.09,R,A
Hispanic or Latino,F,Human Services Department,49,50.43,R,A
Hispanic or Latino,F,Seattle Dept of Human Resource,53,51.39,R,A
Hispanic or Latino,M,Police Department,35,42.96,R,A
Hispanic or Latino,M,Construction & Inspections,27,40.66,R,A
Hispanic or Latino,N,Seattle City Light,26,30.87,R,A
Hispanic or Latino,M,Police Department,53,63.46,R,A
Hispanic or Latino,M,Seattle Public Utilities,30,32.49,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,28,43.34,R,A
Hispanic or Latino,M,Fire Department,53,55.15,R,A
Hispanic or Latino,M,Finance & Admin Services,40,63.32,R,A
Hispanic or Latino,F,Seattle Center,65,29.33,R,A
Hispanic or Latino,M,Parks & Recreation,34,18.69,T,A
Hispanic or Latino,M,Human Services Department,72,46.68,R,A
Hispanic or Latino,M,Finance & Admin Services,53,30.36,R,A
Hispanic or Latino,F,Planning & Comm Development,42,54.86,R,A
Hispanic or Latino,M,Seattle Center,31,31.97,R,A
Hispanic or Latino,M,Seattle City Light,38,34.35,R,A
Hispanic or Latino,M,Seattle City Light,43,41.66,R,A
Hispanic or Latino,M,Police Department,50,59.8,R,A
Hispanic or Latino,M,Seattle Public Utilities,26,24.92,T,A
Hispanic or Latino,F,City Budget Office,22,19.09,T,A
Hispanic or Latino,M,Police Department,66,70.92,R,A
Hispanic or Latino,M,Seattle Public Utilities,23,24.92,T,A
Hispanic or Latino,M,Police Department,46,60.06,R,A
Hispanic or Latino,M,Parks & Recreation,47,37.84,R,A
Hispanic or Latino,M,Fire Department,44,64.57,R,A
Hispanic or Latino,F,Police Department,24,26.05,R,A
Hispanic or Latino,M,Mayor's Office,30,43.104,R,A
Hispanic or Latino,F,Seattle Public Utilities,31,46.68,R,A
Hispanic or Latino,F,Seattle Public Utilities,63,32.48,R,A
Hispanic or Latino,F,Parks & Recreation,52,44.95,R,A
Hispanic or Latino,M,Police Department,52,59.8,R,A
Hispanic or Latino,F,Seattle Dept of Human Resource,64,46.68,R,A
Hispanic or Latino,M,Parks & Recreation,41,40.85,R,A
Hispanic or Latino,M,Seattle Public Utilities,50,85.305,R,A
Hispanic or Latino,F,City Auditor,38,67.33,R,A
Hispanic or Latino,M,Seattle Public Utilities,64,37.32,R,A
Hispanic or Latino,F,Arts & Culture,71,48.48,R,A
Hispanic or Latino,M,Seattle City Light,44,61.86,R,A
Hispanic or Latino,M,Seattle City Light,33,37.29,R,A
Hispanic or Latino,M,Parks & Recreation,29,27.46,T,A
Hispanic or Latino,F,Law Department,25,35.469,T,A
Hispanic or Latino,F,Seattle Public Library,54,61.85,R,A
Hispanic or Latino,M,Fire Department,42,46.9,R,A
Hispanic or Latino,F,Office for Civil Rights,31,45.83,R,A
Hispanic or Latino,F,Parks & Recreation,26,18.69,T,A
Hispanic or Latino,M,Legislative Department,28,33.525,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,31,37.84,R,A
Hispanic or Latino,M,Seattle Public Library,62,46.07,R,A
Hispanic or Latino,F,Municipal Court,38,31.6,R,A
Hispanic or Latino,M,Police Department,51,89.78,R,A
Hispanic or Latino,F,Education & Early Learning,45,62.209,R,A
Hispanic or Latino,F,Seattle City Light,36,31.35,R,A
Hispanic or Latino,M,Seattle Public Utilities,40,39.59,R,A
Hispanic or Latino,F,Seattle Public Utilities,36,32.48,R,A
Hispanic or Latino,M,Parks & Recreation,64,30.09,R,A
Hispanic or Latino,F,Off of Emergency Mngmnt Dept,40,56.9861,R,A
Hispanic or Latino,M,Police Department,43,45.96,R,A
Hispanic or Latino,F,Commnty Sfty and Comm Ctr Dept,27,39.22,R,A
Hispanic or Latino,M,Seattle City Light,28,32.17,R,A
Hispanic or Latino,M,Fire Department,48,50.86,R,A
Hispanic or Latino,M,Seattle City Light,51,61.86,R,A
Hispanic or Latino,M,Finance & Admin Services,51,69.597,R,A
Hispanic or Latino,M,Human Services Department,54,42.57,R,A
Hispanic or Latino,M,Fire Department,48,54.19,R,A
Hispanic or Latino,M,Seattle Public Library,30,23.4,R,A
Hispanic or Latino,M,Police Department,35,55.34,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,44,70.63,R,A
Hispanic or Latino,M,Seattle City Light,32,34.15,R,A
Hispanic or Latino,M,Parks & Recreation,24,22.86,T,A
Hispanic or Latino,M,Parks & Recreation,55,48.25,R,A
Hispanic or Latino,F,Seattle Dept of Human Resource,53,54.34,R,A
Hispanic or Latino,M,Seattle City Light,56,107.6095,R,A
Hispanic or Latino,M,Fire Department,43,51.07,R,A
Hispanic or Latino,N,Office of Labor Standards,43,41.66,R,A
Hispanic or Latino,F,Finance & Admin Services,36,30.5,R,A
Hispanic or Latino,F,Legislative Department,45,57.55,R,A
Hispanic or Latino,M,Seattle City Light,65,61.19,R,A
Hispanic or Latino,M,Seattle City Light,61,69.6,R,A
Hispanic or Latino,M,Seattle Public Utilities,51,43.27,R,A
Hispanic or Latino,M,Seattle Public Utilities,33,27.6,R,A
Hispanic or Latino,F,Seattle City Light,74,31.35,R,A
Hispanic or Latino,F,Employees' Retirement System,57,57.534,R,A
Hispanic or Latino,M,Parks & Recreation,33,37.29,R,A
Hispanic or Latino,F,Law Department,36,67.954,R,A
Hispanic or Latino,M,Parks & Recreation,58,25.46,T,A
Hispanic or Latino,M,Fire Department,36,46.48,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,54,38.57,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,27,33.64,R,A
Hispanic or Latino,M,Information Technology,44,74.64,R,A
Hispanic or Latino,F,Municipal Court,54,29.03,R,A
Hispanic or Latino,F,Seattle Public Utilities,58,55.44,R,A
Hispanic or Latino,M,Fire Department,47,60.87,R,A
Hispanic or Latino,F,Fire Department,26,26.99,R,A
Hispanic or Latino,F,Information Technology,49,61,R,A
Hispanic or Latino,M,Fire Department,53,65.37,R,A
